name,catch_copy,lead,description,works_url,movie_url,system_diagram_url
Dolores,18世紀のヨーロッパを21世紀に日本で楽しめるように。,忙しい日常の中で、普段は試してみない服を着て、お茶を飲んで、ゆったりとした自分自身を完全に楽しめる時間を持つことが時々難しい。,普通の日常で、ヨーロッパ旅行に来たような気持ちをしばらくでも楽しめるように、コンセプトに最大限に没入してご用意しました。 単にカフェでお茶を楽しむだけじゃなく、ドレス、靴、髪飾りなどをレンタルして写真を撮ることができるフォトゾーンを作りたいと思いました。デザイン物のほとんどを名画の絵を使って美術館のような感じも出したいと思いました。 使用したチケットは保管して思い出できるように主なデザインを左に配置したし、メニューパネルも現代的な感じを排除するために紙のテクスチャの背景を使いました。,,,
Ride On Cafe,最高の食事を、最高の愛車と共に,全てのバイクが好きな人のためのこれまでにない斬新なカフェ。ドライブインシアターからインスピレーションを得ました。,世の中に多く存在するライダーズカフェとは一風変わったライダーズカフェをイメージして制作しました。「愛車にずっと乗っていたい」「もっと多くの人に自分の愛車を見て欲しい」、多くのライダーが持つ願いを叶えられるカフェになるよう工夫しました。どのようなカフェにすればライダーに喜ばれるのか、同じライダーとして考え制作したので、ライダーに喜ばれるような要素を多く取り込んだカフェになっているかと思います。,,,
サウナカフェ「サウナタウコ」,北欧のサウナ文化、コーヒー文化をコラボレーション。,サウナで整った体のまま、カフェでゆったりリラックス。カフェスペースでは、サウナ好き同士の社交の場として開放的な空間を提供します。,"このカフェは現代社会を生きるサラリーマンをターゲットとし、疲れを癒すとともに、サウナが好きな人と人とを繋ぐ交流の場を提供します。
一つの建物内で、シームレスにサウナからカフェへ移行できることにより、サウナ後の倦怠感をゆったりとカフェスぺースでやわらげ、リラックスすることできます。サウナとカフェの要素だけでなく、交流の場とすることで、そこにコミュニティを形成し、また2回目も行きたいと思ってもらえることを狙っています。",,,
高校野球カフェ『18.44』,根っからの野球好き、野球バカが集まるお店,"高校野球の魅力が溢れる、空間へようこそ！
高校野球カフェ『18.44』で明るいプレーと感動の瞬間を味わいながら、みんなと一緒に盛り上がりませんか？
ここにしかない高校野球の楽しみを感じてみてください！","高校野球カフェ『18.44』は高校野球の魅力と感動をテーマにした、独自のコンセプトを持つカフェです。まず店内には、壁一面に全国の強豪校から古豪まで多数のユニホームが飾られております。そしてそのユニホームの全てが着用可能になっており、憧れの高校の一員になる事ができます。
他にも有名選手のサインボールなどが飾られております。メニューにも独自のアイデアが凝らされています。例えば「ホームランシェイク」と言う名の特製スムージーがあり、フレッシュなフルーツとエネルギーを補給できる一杯となっています。さらにカフェ内では定期的にイベントが開催されており、そこで野球好きの方たちと親交を深めることも可能です。そしてこのカフェでは地域の寮生がいる高校と食事提携を行っています。
食事の面から地域の高校をサポートする活動も行っています。タイミングが良ければ有名な選手に会えるかも？『18.44』は高校野球ファンにとって仲間とともに盛り上がり素晴らしい時間を過ごせる場所になっています。ぜひ一度高校野球カフェ『18.44』を訪れてみてください。",,,
スターリンク,行きやすいから行きたくなる店になります。,この店を来てくれるお客様に最大な満足を与えます。,静かにやりたいことをやりながら過ごしたい、学生向き、宇宙についての教育とかを共有するサイトです。,,,
Hobby Links,「好き」をシェアしよう!,好きなことや趣味、マニアックで近くの人で共有できないようなことを誰かと共有して、プライベートを充実させましょう。,同じ趣味興味や趣味を持つ人々のための、対面およびオンラインの活動、イベントを主催および組織するためのプラットフォームです。対面およびオンラインの活動やイベントを主催し、参加者同士の交流をサポートします。興味の合う仲間との出会いや情報共有、新たな体験の発見を促進します。ユーザーフレンドリーなインターフェースと高度なマッチングシステムにより、最適なイベントや活動に参加できます。趣味を通じたつながりを深め、豊かな人生を楽しみましょう。趣味コネクトで新たな世界が広がります！趣味、イベントとも書いてありますが、組織的な考え方も可能で、部署というグループでプロジェクトというイベントを作成し共有、参加、人員の収集などすることもできる。,,,
Hydro Mate,海と財布と学生の味方！！,近年、ペットボトルのポイ捨ての影響で海に流れてマイクロプラスチックになるという問題があります。この問題を解決する為にマイボトルに目をつけました。マイボトルを使用した自販機を作ることによりペットボトルの消費量が減少すると考えました。また料金を学費に加えることにより使えば使うほど安くなり財布に優しいです。,"私たちは、【マイボトルの利用者を増やしペットボトルの消費量削減をする】をテーマに学生向きのHaidari mateというウォーターサーバを作成しました。
使用方法は、あらかじめ学生に契約をしてもらい学生書のNFCのIDをデータベースに登録する。登録されたNFCをカードリーダーにかざすとデータベースを参照し、Haidari mateが使用できるようになります。マイボトルをセットしサイズに合わせたボタンを押すと給水が開始されます。
特に力を入れたのは組み込み系の技術です。今回始めて組み込み系に挑戦しました。ボタン押すと水を吸い上げる処理や骨組みや塗装を一からやりました。",,,
万能掲示板,解決を手に、一人暮らしの困りごとを共有しよう,一人暮らしの困りごとを解決するための便利なプラットフォーム。手に負えない時や高額な業者に頼む前に、信頼できるユーザーが助けに来ます。,"「一人暮らしをサポートする新しいソリューションが登場！」

私たちは、一人暮らしをしている方々のさまざまな課題を解決するために、画期的なITソリューションを提供しています。友達や身近な人の助けがない時や、どうしても自分ひとりでは難しいことがある時に頼れる存在となることを目指しています。

当サービスでは、ユーザーが抱える問題や依頼事項を値段を設定して掲載し、対応できる人材がそれに応じて依頼を受ける仕組みを構築しています。一人暮らしの方々は、掲載されている依頼内容を閲覧し、必要なサービスを選択することができます。依頼が解決された際には、双方合意のもと報酬を支払うことができます。

私たちのサービスの強みは、一人暮らしの方々が抱える問題にスムーズかつ迅速に対応できる点です。また、コスト面でも業者に依頼するよりも手頃な価格で解決策を提供することができます。

一人暮らしをしている方々にとって、私たちのソリューションは頼もしいパートナーとなることでしょう。ぜひ、私たちのブースへお越しください。一人暮らしをもっと快適に、安心して過ごせる新しいサービスをご紹介いたします！",,,
Fresh Deli (フレッシュ デリー),罪悪感を感じずに、ヘルシーなデザートをあなたへ,不安を無くすショッピング体験を目標にしたECサイトで、日本全国のデザート専門店から取り扱っている様々な低カロリーのデザートを提供できます。,Fresh Deliは日本全国のデザート専門店から健康的なデザートを取り扱っているECサイトです。不安や罪悪感を無くして、安心で楽しくショッピング体験を目標にしています。ダイエット中の方、アレルギーを持っている方、デザートが好きでもっと楽しみたい方をターゲットとして健康的なデザートの魅力を伝え、様々な種類や期間限定の商品などを販売しています。当サイトはヘルシーなデザートを販売しているだけではなく、健康のサポートとしてダイエット計画システムという機能があります。お客さんが簡単に目標を立て、その目標を達成したら無料で好きなデザートを一個選べます。好きなデザートを安く手軽に購入できるタイムセールというイベントもあります。,,,
私の！ぐんぐん日記,敬遠、断念せずに菜園を楽しもう,"菜園に対してしてみたいという意欲的な声もあるが様々な問題から断念してしまう人も多い。
その問題をこちらで解決、楽しみながら菜園をしてもらう作品を制作しました。","菜園を続けてもらえるよう、続けてもらうための機能3つに力に入れました。
1つ目の水やりと日記は、それぞれをした後にアドバイスや同じものを作っている人の表示をします。育てきると種が送られてきます。2つ目のお出かけは、様々な人と交流することが出来ます。3つ目のキャンペーンは、定期的に開催し、いくつかの賞と景品があります。
繰り返してもらうかたちとしては、
野菜を育てる→キャンペーンに応募、日記を書いたり投稿したりする→賞をとってみたい、誰か見てくれていないかな？プレゼントがほしい！→種や景品が送られてくる→また育ててみたい
という流れをイメージしています。
ターゲットは菜園をしたくてもできない人、続かない人、初心者の人です。",,,
Tree House Coffee,自由な大自然で、自分だけの特別な一杯を楽しもう,大自然に囲まれた開放的な環境で、心地よい風や鳥のさえずりを聞きながら、自分自身でゆっくりとコーヒーを淹れる贅沢な体験ができます。,当店は、キャンプ場に設けられた特別なコーヒーショップです。自然に囲まれた開放的な環境で、心地よい風や鳥のさえずりを聞きながら、自分自身でコーヒーを淹れる贅沢な体験ができます。コーヒー豆は、世界各地から厳選した高品質な豆を用意しています。お客様は自分の好みに合わせて、豆を選び、挽き方や抽出方法を選んでコーヒーを淹れることができます。専用の淹れ方ガイドやスタッフのアドバイスを受けながら、自分だけのオリジナルなコーヒーを作り上げましょう。「自由な大自然で、自分だけの特別な一杯を楽しもう」というコンセプトのもと、当店ではお客様に自由な発想と創造力を刺激するコーヒー体験を提供しています。あなたのキャンプ場での思い出に、特別なコーヒーモーメントを加えましょう。,,,
肉球,個室で１人でも行きやすい！,"当店舗では一人で行きたいけど人の目が気になって
行けない人や、もっと近くで猫と触れ合いたい人な
どの人におすすめです！！
","
個室の猫カフェは、一部の猫カフェで提供されている特別なスタイルのサービスです。 通常の猫カフェでは、複数の人が猫たちと一緒に過ごせることができますが、個室の猫カフェでは、専用の個室で猫たちとプライベートな時間を過ごすことができます。
さらに個室の猫カフェでは、Wi-Fiや電源などの基本的な設備が整っていますので、仕事をするために必要な環境を提供してくれるのでリラックスした環境で集中力を高めることができます。
アレルギーで行きたいのに行けない人にはリモートでの視聴が可能です！
ただし、個室の猫カフェでの仕事にはいくつかの注意点があります。 まず、猫たちの生き物であり、突然の行動や予測不可能な行動をすることが起こります。中でも、猫たちに気を配る必要があるかもしれません。
また、個室の猫カフェは一般的に時間制限がある場合があるので、事前に予約をすることが必要です。 また、慌てている場合には利用できないこともあるため、事前に確認すること重要です。
個室の猫カフェとリモート両方でねこちゃんたちと戯れましょう！！！！",,,
cookbuddy,キャラクターと一緒に食生活を改善！節約も叶う、料理アプリ,食生活が偏ってしまう、節約がしたいでも料理ができない、という人に向けて、キャラクターを育成しながら料理を学べて、改善も節約もできる料理アプリ。,"このアプリはキャラクターとヘルスがリンクしており、料理をすればその料理の栄養バランスがヘルスに反映されます。食事が偏ったり食事を取らなかったらキャラクターの具合も悪くなり、自分の食生活が目に見えてわかるため、食生活改善の意欲が向上します。その他に、キャラクターのことが知れる漫画やアイテムを料理報酬につけ、愛着が湧くようにすることでさらにキャラクターを大切にしてもらい自分の健康状態の維持に繋げます。
繰り返しを促す機能は、キャラクターの健康状態と季節の旬の料理を通知で定期的に発信することで促します。
このアプリは他のサービスと比べてゲーム感覚で楽しく料理ができるのがウリです。",,,
レトロゲームカフェ,レトロゲームがたくさんがあって遊びまくれるカフェ,"レトロゲームカフェでいろんな人に遊んでもらって楽しむカフェです。
みんなで遊んでコミュニケーションを楽しめる空間です。","レトロゲームカフェでは、たくさん機械があって、ファミコン、スーパーファミコン、セガメガドライブ、ニンテンドー64など、多くのホームゲーム機が揃っており、各機種ごとに様々なゲームをプレイすることができます。昔懐かしいタイトルから隠れた名作まで、幅広い選択肢があります。
レトロゲーム個室を利用すれば、他のお客様との干渉を気にせず、自分たちだけの楽しい時間を過ごすことができます。ぜひ、当店のレトロゲーム個室を利用して、懐かしいゲームの世界に浸りながら、思い出に残る体験をしてください。",,,
Monstera (Coffee&Drinks),自然からの無限のクリエイティブなインスピレーション,Monstera - ヘルシーな飲み物や美味しいケーキをたべながら自然に浸ることができて、勉強や仕事をするのに理想的なスペース,"勉強、仕事、創作のための緑のスペースが必要ですか? 何時間も勉強したり、一生懸命働いた後に友達と集まるのに理想的な場所が必要ですか? モンステラに来て、ヘルシーなドリンクとおいしいケーキを飲みながら自然に浸り、ストレスと疲労を和らげてください。

一般のお客様向けに、心の奥底から創造性を刺激する、新鮮な雰囲気の緑地空間を自信を持ってご提供いたします。 モンステラでは、それをお手伝いするためのさまざまなスペースをご用意しています。ペンやホワイトボードなどのツールの貸し出しも行っており、小さなことからでも便利にご利用いただけます。",,,
ねこ探偵局,猫好き大集合！猫の魅力を大捜索！ねこ探偵局,関西を中心に猫カフェ・野良猫スポットを探索し、ブログやSNSで発信する【猫好きの猫好きによる猫好きのためのメディア】です。,"私たちのメディアは猫の魅力を皆さんにお伝えするべく、ブログ・Instagram・Twitter・TikTokで猫に関する情報を発信しています！1年間でSNS総フォロワー数3500人以上を目標に投稿を頑張っています。
実際に保護猫カフェや野良猫スポットに訪れて発信することで猫好きの方のお出かけの参考や癒しになれるようなメディアを目指しています。
情報発信だけでなく、ねこ探偵局のイメージキャラクター「しゃしゃき」をモチーフにしたグッズの販売や店頭に置いていただけるような、ポスターやステッカーの作成にも力を入れて取り組んでいます。
猫が好きな方は限定のステッカーをお配りしているので是非当ブースへ足を運んでみてください！",,,
New Type,ニュースに鮮度を、タイピングに精度を。,"タイピングの問題はニュースで登場するキーワード。
60秒以内にできるだけたくさんの問題を解答し、ランキング機能で
他プレイヤーとスコアを競い合おう！","ターゲット：タイピング能力の低い20代の新社会人

ジャンル：タイピングゲーム


問題としてその日のニュースキーワードが出題されます。これによりタイピングの練習とニュースの吸収を同時にこなすことが可能です。

各レベルごとにキーワードの長さが違う3つのレベルを用意しており自分に合った難易度に挑戦することができます。

力を入れた部分は、データベースに保存するためのニュースを制限する作業です。

基本的にニュースのタイトルは長いものが多いため、ひらがな化やNewsAPIから取得し、spliceを用いた正規表現によって文字の長さを変えるというフローを考える点で苦労しました。",,,
AniSup,日本のアニメ産業を支えよう！あなたの支援が未来に繋がる,アニメーターがいなければアニメも生まれない。ユーザーに寄り添ったUIでアニメーターの欲しい物を購入したり、会社を直接支援しよう。,このサイトは日本のアニメ業界を支援したいという気持ちで作っています。現在日本のアニメ産業は素晴らしいものとなっていますがアニメを作るアニメーターの労働環境や賃金などが問題になっています。そこで我々視聴者が直接支援して日本のアニメ産業を支えようと思い、制作に至りました。基本的な機能として支援を希望するアニメーターにはほしい物リストの提示や銀行振り込みで金銭的な支援を受け取る事ができるようになっています。また、コメント機能も実装しておりアニメーターに直接応援のコメントを送れるようになっています。,,,
 JOHN SMITH CAFE,言語で無限の可能性を見つけよう。,"言語は人の可能性を発見する武器である。このカフェでは外国人と日本人と交流できる場所です。英語・日本語使い、世界を知り、新たな縁を作ろう。
","このカフェでは「ROUNDTABLE」というイベントがあり、日本人と外国人が会え、交流でき、新しい縁を作れるという特徴がある。イベントの目標は外国人と日本人は英語・日本語が学べる。また国際・国内の友達も作れる。話すテーマは店からはもう準備したが他のこと話しても大丈夫。このイベントターゲットは英語が全くできない人も大丈夫.

このサイトを作る時、意識したことは分かりやすさである。誰に向けるやイベントの流れについてがサイトを見た瞬間分かるように作りました。例えば外国人のターゲットもいるので分かりやすいため、英語の説明や分かりやすい画像を追加しました。",,,
ひややっ庫,冷蔵庫の食べ物捨ててない？ 冷蔵庫の中身を写真で管理するスマホアプリ,"冷蔵庫の中身を管理しきれず必要以上に食材を買ってしまい
廃棄してしまう。もったいないですよね。
このアプリを使えば冷蔵庫の食材を残さず消費できます！","あなたは日本のフードロス問題を知っていますか？今日本では年間523万トン、
毎日10tトラック約1,433台分の食品を廃棄しています。そのうち家庭からは約半分もの食品が賞味期限切れや、食べ残しなどで捨てられているのです。
そこで私たちは、家にあるのに買ってしまう、
いつの間にか消費期限が切れて捨ててしまうなどで困っている方のために家庭の食品ロスをすくなするためのアプリ「ひややっ庫」というアプリを作りました。
このアプリを使うことでそのような問題とはおさらばです！！また食品ロスを減らせれば余計な出費を減らすことができます！！
使い方は簡単で買ってきた商品の写真を撮り、消費・賞味期限を入力するだけ！！",,,
スマーホレジ,スムーズな会計で、安価に人手不足と待機時間の解消を・・・,スーパーなどで、お客様のスマホで商品を登録し、キャッシュレスならそのままお支払い。商品をレジに通す必要がないため、スムーズな取引ができます,"この作品は、混雑のしやすいスーパーやコンビニなどの小売店、または少量の買い物をする消費者て制作しました。

最近流行りのセルフレジは導入費用が高く、人によっては時間がかかります。
なので、消費者を手に取った時点で商品を登録してもらうことで、商品をレジで通す手間を短縮、キャッシュレスでお支払いするのであれば、スマホ1つで完結することも可能です。
そして、小売店の導入コストも、規模に合わせたサービス利用料のみ、そして既存のシステムと共存できるよう考えています。",,,
熱中症対策アプリ,命を見守り、導く,ユーザーの現在地を取得して、熱中症リスクを算出してお知らせします！熱中症は気づかないうちになっているものだからこそ、数値という客観的なデータをもとにしてリアルタイムでリスクを計算して通知することで、ユーザーの健康と安全をサポートします！,　本作はアンドロイドアプリで、常に身に着けているスマホ向けに制作したことで、ユーザーがどこにいてもリアルタイムでその健康と安全をサポートすることができます。ターゲットとなるのはかなり広い客層ですが、主に炎天下での作業が求められるブルーカラー労働者の方々が使用されることを強く意識しております。リアルタイムで現在地を取得し、APIをもとにして外気温を取得、熱中症リスクを計算して通知し、リスクが致命的になれば、自動的に現在地近くの病院を検索して表示することで、危険が迫った時にすぐに救命が行えるように手はずを整えました。,,,
Akind,いらない服を再利用！？,"着なくなった服を貸し出したり、出品することで服を再利用しよう！
","ターゲット：20代～30代の女性（若め）
システム：使わなくなった服を個人や、店舗で出品できるフリマアプリ
機能：出品、検索、商品管理",,,
タンポポベーカリー,日々、愛される手作りパン,みなさまに、愛されるようなパンを食べていただきたい。そんな思いで作り続けて、創業から２０年を迎えました。,"タンポポベーカリーの、サイトの目的は、パンの焼き時間を掲載して、お客様が求めているパンを売っている時間に来店しやすくする。
50歳の夫婦の経営になると、お客様の変化しやすい対応、例えばお客様都合になるような、オーダーメイドなどの余裕がなくなるのを避けることができるようになると考えました。

そして、20年にわたり、地域の繋がりが深いことで、地元の子ども食堂との連携が取りやすいと思い、寄付金でチケットに変換して、寄付を受ける側に無料のパンを提供する代わりに、
寄付を利用する側は手紙を一言だけでも書くという、寄付をする側と気持ちを交換することで、
寄付をする側には、実感とお金が目的通り使われたことと、受ける側は手紙を一言書くことで、受け取れると食に関して豊かに慣れると思います。",,,
ZUNNET,最小の時間で最大の効果を,授業の課題やアルバイトで忙しいECCコンピュータ専門学校の学生に、最小の時間で最大の効果をもたらす学習の補助ができる作品にするため本キャッチコピーを考えました。,ゲーム形式でネットワーク用語の意味を理解して頂くための学習ツールです。ゲームジャンルは2DでRPGとノベルの融合ゲームです。ターゲットはネットワーク演習を学習する、CCNA受験するECCコンピュータ専門学校の学生です。,,,
勝手に家計簿,これさえ使えば簡単に家計簿がつけれます！,レシート情報があるQRコードを読み込めばレシートを簡単に管理でき、自動で家計簿をつけてくれる、たくさん人の味方になるアプリです。,"このアプリは若い人からお年寄りまでにむけたアプリです。このアプリはカメラでQRコードを読み込むだけで簡単にレシートを管理でき、自動で家計簿につけてくれます。
内部データベースを作ることによって個人それぞれで別の家計簿が作れます。
このアプリが広まることによってレシート削減にもつながりSDGsにも貢献できます。利益などの点に関したら例をいうと一店舗でレシートが0になると年に約10万円程度浮きます。このアプリのために必要なQRコードを提供します。レシート代が浮くので1割程度もらいます。それだけでもたくさんの利益が出ます。",,,
pilgerfahrt,フィクションを超えて、リアルに。あなたの好きな物語の世界へ一歩踏み入れてみませんか？,作品の舞台を実際に体験し、物語に深く浸かる。この一歩が、あなたのファン生活を新たな次元へ導きます。,"アニメやドラマの聖地巡礼アプリは、物語の舞台となるリアルな場所を巡るための究極のガイドです。あなたが愛する作品の世界をより深く理解し、感じるために、我々は物語の背景となる場所を詳しく紹介します。

このアプリは、アニメやドラマのファン、旅行愛好家、そして物語と現実の間を行き来したい全ての人々に向けて開発されました。作品に関連する地域の詳細な情報、訪れるべきスポット、そこでのエピソードなどを手軽に提供します。

私たちのウリは、リッチなコンテンツと直感的なユーザーインターフェースです。あなたが探している情報をすぐに見つけることができ、一方で新しい発見も期待できます。また、我々は地元のコミュニティとも密接に連携して、より生き生きとした体験を提供します。

このアプリであなたのファン生活を一歩先へ進めてみませんか？物語の世界と現実が交差する場所で、新しい発見と感動を待っています。",,,
pilgerfahrt,フィクションを超えて物語の世界へ一歩踏み入れてみませんか,作品の舞台を実際に体験し、物語に深く浸かる。この一歩が、あなたのファン生活を新たな次元へ導きます。最高の聖地巡礼を体験しましょう。,pilgerfahrtは、あなたの愛するアニメやドラマの物語を実地に探索するための最高のガイド。物語の背景にある現実の場所を深く理解し、感じる旅へと導きます。ファン、旅行好き、物語と現実を行き来したい全ての人々へ、詳細な地域情報や訪問スポット、エピソードを提供します。私たちの特長は豊かなコンテンツと直感的なインターフェース。必要な情報は手元にすぐ、新たな発見も待っています。地元コミュニティと連携し、鮮やかな体験を提供します。,,,
S-D2,病院に行くべきか悩む気になる皮膚病を簡単診断,"皮膚が若干荒れて気になっているが、病院に行く時間が無かったり
そもそも行くのが面倒だと思ったときに気軽に簡単に皮膚病の診断を行えます。","肌に悩む方に登録不要で簡単に皮膚診断が行えるWebサイトです。
AIでの画像診断を用いて肌画像から、診断し結果を表示します。
結果をもとに可能性のある皮膚病を上位３つ表示します。
AIを活用することで素早く診断が行え、検証データが多いほどより正確に診断ができます。
病院に行くべきかどうかを迷われている人へ判断材料を増やし、判断をしやすくします。
市販薬でのケアを望まれる人向けにそれぞれの皮膚病に効く市販薬を検索できます。",,,
Breet,あなたがいない家でペットがどうしてるか知っていますか？,"Breetは、ペットを飼っていて外出が多い人に向けたアプリです。
外出先からスマホ1つでペットの健康状態が確認でき、空調管理や餌やりをスマホから行えます。","チームCはWoTで社会問題の解決をしたいという目標に向けて制作に取り組みました。
私達が取り組んだ社会問題は外出中のペットの健康です。
コロナ禍でペットを飼い始めた人が、今では外出自粛も終わりペットを家に残して出社しているという現状があり、何かあった時に対応できない問題があります。
その問題を解決するのがBreetです。
Breetはペットの健康状態を外出先で確認できて空調管理や餌やりをスマホから行えます。
特に力を入れたところは餌やり機とwebアプリの連動です。餌やり機からデータを取得し、スマホから操作することができます。",,,
GPT-boys,GPTを超えるために挑戦を続ける、それが我々GPT-boys。,GPT-boysはAIとともに学び、成長し続けます。私たちと一緒に、この進化するAIの世界を楽しみ、新しい未来を見つけましょう。,"「GPT-boysとは、chat-GPTに興味を持つ者たちが集まり結成したグループです。我々の目標は、この進化するAIの領域を共に学び、理解し、成長していくことです。チームメンバーはそれぞれの専門分野を活かし、Youtube、ブログ、TikTokなどのプラットフォームを使い、AIの可能性を探求し、その進歩を広く共有します。GPT-boysは、未知の可能性を探し続けるあなたを歓迎します。一緒に新たな未来を見つけましょう。あなたがAIに興味があるなら、私たちはあなたと一緒に学ぶのを楽しみにしています。新たな挑戦、その名もGPT-boys、未来への一歩を一緒に踏み出しましょう。」

上記の内容を全てchat-GPTに考えてもらいました。",,,
アラ得！！,エコロジーな値引きアタック！おトクな瞬間をお知らせ！,スーパーでお買い物をするそこのあなた、スマホを買い物のツールとして使ってみませんか？連絡ツールのlineを使ってお買い物の手助けしちゃいます！,"LIFF (LINE Front-end Framework)を使用した、値引き通知アプリケーションを開発しました。
その場に居ないユーザーに値引きした商品の情報を知ってもらうことを、全てline上に値引き情報が記載されたwebページを表示します。
また、店舗側も値引き情報を管理画面で変更できるので、ユーザーだけでなく店舗責任者向けのアプリとなっています。
このアプリは、連絡ツールとしてシェアが高いlineのみでアプリの動作が完了するため、利用しやすいシステムとなっています。",,,
NotiG,NotiGで買い物上手に 位置情報と通知を使った買い忘れ防止アプリ,買いたい商品を扱っているお店が近くにあると通知してくれます。商品を安く扱っているお店や、距離が近いお店を表示することができます。,今回私たちサイバー忍者は、「NotiG」というアプリを作りました！NotiGはメモを見ずに 位置情報と通知を使い買い忘れを防止するアプリであり、買い物をよくする人、物忘れが多い人をターゲットに作りました。NotiGの使い方は、まず自分の買いたい商品をタスクとして登録します。データベースにはあらかじめお店の情報を入れているので、登録した商品を扱っているお店が近くにあると通知し、買い忘れを防止することができます。また、お店ごとに商品の値段を比較したり、距離が近いお店を表示することができます。開発の際に特に力を入れたのは、位置情報と通知の連動です。アプリのバックグラウンドで位置情報を取得するのが大変でした。,,,
Telun,ボランティア参加にWの安心を！,"既存のボランティアではただボランティアに参加して終わってしまう。
しかし、Telunではボランティアに参加すると運営側からポイントを与えられる。（ポイントは参加したボランティアの頑張りによって評価される）こうすることで運営側は参加者に仕事を安心して任せられる。
参加者はモチベーションが向上するだけでなく、安心してボランティアに参加できる。
","Telunは主に学生向けに作ったサイトです。
ボランティア活動に関心・興味を持ったことがあるが具体的に行ったことがない人が約46%もいるという状況に加えて、ボランティアの参加の仕方がわからないと答えた20代は男女ともに30%を超えている。
若い世代が興味を引くポイントという少しゲームチックな要素を加えることでボランティア参加の意欲を高めます。
運営側が参加者がどういう人かわからないという問題もポイントの高さによってひょうかできるため安心してボランティアを任せられる",,,
フレッシュアイ,よりよい食品を代わりに見分けてくれるAI,食品の新たな未来を切り拓くAI食品管理アプリ。鮮度判定と安全な消費をサポートし、美味しさと栄養価を最大限に引き出す。,当サービスは、消費期限や賞味期限を超えた食品でも安全に食べられる期限を算出し、食中毒の予防に貢献します。においセンサーやAIによる画像判定を駆使し、食品の鮮度を正確に検知します。スマホで撮影した写真とセンサーデータを組み合わせ、数段階の評価基準で鮮度を表示します。また、食品の管理機能も充実しており、名前・評価・撮影日・保存期間を登録し、通知機能によって保存期間が近づくと知らせます。このサービスを使えば、鮮度の高い食品を選び、よりおいしく栄養価の高い食事を作ることができます。IoT機器とスマホアプリの組み合わせにより、食品管理の手間を軽減し、食品の安全性を向上させます。食品の新たな未来を切り拓くこのサービスのブースをぜひご覧ください。,,,
バイキー,鍵かけるのひよってる方はいらっしゃいますか？,"どの自転車でもチェーンなどの鍵をかけた方が盗難などの被害に合う可能性が少なくなりますが、
ママチャリなどの自転車は鍵が元々ついているから大丈夫と思っている方が多いので余裕のある方はぜひつけてみてください。","自転車用のワイヤーロックで、スマホで鍵の開閉やアラーム機能が備わっています。
ターゲットは自転車を所有している方で、特にロードバイクなどの値段が高いバイクを所持している方です。
他の商品との差別化は、ワイヤーを無理やり外そうとするとアラートが鳴り、所有者の携帯に通知が行く機能です。
力を入れた部分は機能の多さと使いやすさのバランスです。機能を多いと便利ですが使いにくくなるので、シンプルかつ便利な機能、差別化を頑張って考えました。
",,,
Me守るくん,悩みを抱えているあなたへ。その悩み、解決します。,学生生活で悩みを抱えているあなたへ。悩みにあったカウンセラーがあなたを待っています。一緒に解決していきましょう。,悩みを抱えている学生をターゲットに、学生向けの匿名オンラインカウンセリングサイトを作成しました。このサイトは、匿名で利用することができるので気楽に学生が利用することができます。力を入れた部分は、オンラインでチャットや通話、ビデオ通話から選択することができ、自分にあったカウンセリング方法を選ぶことができます。さらに、様々な得意分野を持っているカウンセラーがいるので自分の悩みにあったカウンセラーとカウンセリングをすることができます。このサイトは、利用することによって現在相談したくてもできていない学生に悩みを解決する機会を与えることを目的に作成しました。,,,
車用ディフューザー,好みのタイミングで香るディフューザー,車に乗る人に向けた嗅覚の順応してしまった嗅覚を取り戻す,同上,,,
RewardBox,毎月の積み立てが贈る、特別なプレゼントを,"自分へのご褒美を毎月の積み立てで誕生日に特別なプレゼントを。
あなたの日常を彩る魅力的なサブスクリプションの詳細をお伝えします。","私たちは、20代から30代の皆さんに向けて、自己投資と喜びを融合させた特別な企画をご提供しています。当サイトでは、毎月少額の貯金を積み立てながら、自分へのご褒美を満喫できるサブスクリプションを提供しています。

あなたの誕生日には、厳選された特別なプレゼントがお手元に届きます。

当サイトの強みは、あなたが自分自身を大切にする時間と予算を有効に活用できる点です。月々の貯金がコツコツと積み上げられ、誕生日を迎える頃には、心から喜びを感じる特別なプレゼントがあなたを待っています。

私たちは、品質の高いアイテムやサービスの選定に力を入れており、あなたのニーズやライフスタイルに合った豊富なバリエーションを提供しています。また、登録や支払い手続きは簡単で便利ですので、ストレスなくご利用いただけます。

ぜひ私たちのブースを訪れて、あなた自身への特別なご褒美を見つけてください。素敵なサプライズと心地よい驚きが、あなたの日常をより豊かに彩ります。私たちと一緒に、自己投資と喜びに満ちた旅に出ませんか？",,,
イベント仲介サイト,あなたの得意は誰かの不得意！もちもちマッチング,"ハッカソンなどのイベント参加時に
「自分の技術を活かしたい」や「○○が得意な人が欲しい」
などの悩みはありませんか？
そんな悩みを解決するサイトです","自分が苦手な技術を得意とする人を探したいという思いから
このサイトを作成しました。

この作品の魅力は、サイトを利用することで、互いの強みを生かし
作品のクオリティを向上させることができます。
また普段関わらないエンジニア同士で出会い、同じ開発を進めることで、
お互いの実力を高め合う事も出来ます。

そして、サブ機能としてこのサイトを通じて制作した作品を投稿し、
いいね機能やランキング機能でお互いを評価し合うことで制作に対する
モチベーションアップにも繋げることができます。",,,
